"","County_cd","Loc_cd","County_name","Chemical_name","Concentration..ppb.","Level_of_quantification..ppb.","Method_detection_level..ppb.","Sample_date","Latitude","Longitude","Site_code","Site_name","Sample_type","Study_cd","Study_description","Study_weblink","Data.source","Agency","Record_id"
"413483","31",24,"Placer","bifenthrin",0,0.001,2e-04,"2018-04-17",38.93541,-121.40736,"31_24","Coon Creek at Brewer Road","Sample-type unknown",928,"Sacramento Valley Water Quality Coalition , Irrigated Lands Regulatory Program , SVC, Order R5-2014-0030, Dec 1st 2018, WY18, Q3","http://www.ceden.org/","CEDEN","PNSSNS Subwatershed Group",2592764
"413488","31",24,"Placer","bifenthrin",0,5e-04,1e-04,"2018-08-21",38.93541,-121.40736,"31_24","Coon Creek at Brewer Road","Sample-type unknown",932,"Sacramento Valley Water Quality Coalition , Irrigated Lands Regulatory Program , SVC, Order R5-2014-0030, Mar 1st 2019, WY18, Q4","http://www.ceden.org/","CEDEN","PNSSNS Subwatershed Group",2594105
"413503","31",24,"Placer","bifenthrin",0,5e-04,1e-04,"2018-01-23",38.93541,-121.40736,"31_24","Coon Creek at Brewer Road","Sample-type unknown",933,"Sacramento Valley Water Quality Coalition , Irrigated Lands Regulatory Program , SVC, Order R5-2014-0030, Sep 1st 2018, WY18, Q2","http://www.ceden.org/","CEDEN","PNSSNS Subwatershed Group",2592889
"413517","31",24,"Placer","bifenthrin",0.016,5e-04,1e-04,"2018-03-19",38.93541,-121.40736,"31_24","Coon Creek at Brewer Road","Sample-type unknown",933,"Sacramento Valley Water Quality Coalition , Irrigated Lands Regulatory Program , SVC, Order R5-2014-0030, Sep 1st 2018, WY18, Q2","http://www.ceden.org/","CEDEN","PNSSNS Subwatershed Group",2594321
"413548","31",24,"Placer","bifenthrin",0,5e-04,1e-04,"2018-05-15",38.93541,-121.40736,"31_24","Coon Creek at Brewer Road","Sample-type unknown",928,"Sacramento Valley Water Quality Coalition , Irrigated Lands Regulatory Program , SVC, Order R5-2014-0030, Dec 1st 2018, WY18, Q3","http://www.ceden.org/","CEDEN","PNSSNS Subwatershed Group",2595127
"413562","31",24,"Placer","bifenthrin",0,5e-04,1e-04,"2018-09-18",38.93541,-121.40736,"31_24","Coon Creek at Brewer Road","Sample-type unknown",932,"Sacramento Valley Water Quality Coalition , Irrigated Lands Regulatory Program , SVC, Order R5-2014-0030, Mar 1st 2019, WY18, Q4","http://www.ceden.org/","CEDEN","PNSSNS Subwatershed Group",2592805
"413634","31",24,"Placer","bifenthrin",0,5e-04,1e-04,"2018-02-20",38.93541,-121.40736,"31_24","Coon Creek at Brewer Road","Sample-type unknown",933,"Sacramento Valley Water Quality Coalition , Irrigated Lands Regulatory Program , SVC, Order R5-2014-0030, Sep 1st 2018, WY18, Q2","http://www.ceden.org/","CEDEN","PNSSNS Subwatershed Group",2593558
"413640","31",24,"Placer","bifenthrin",0,5e-04,1e-04,"2018-03-19",38.93541,-121.40736,"31_24","Coon Creek at Brewer Road","Sample-type unknown",933,"Sacramento Valley Water Quality Coalition , Irrigated Lands Regulatory Program , SVC, Order R5-2014-0030, Sep 1st 2018, WY18, Q2","http://www.ceden.org/","CEDEN","PNSSNS Subwatershed Group",2593917
"413670","31",24,"Placer","bifenthrin",0,0.001,2e-04,"2018-07-17",38.93541,-121.40736,"31_24","Coon Creek at Brewer Road","Sample-type unknown",932,"Sacramento Valley Water Quality Coalition , Irrigated Lands Regulatory Program , SVC, Order R5-2014-0030, Mar 1st 2019, WY18, Q4","http://www.ceden.org/","CEDEN","PNSSNS Subwatershed Group",2592326
"413729","31",24,"Placer","bifenthrin",0,5e-04,1e-04,"2018-06-19",38.93541,-121.40736,"31_24","Coon Creek at Brewer Road","Sample-type unknown",928,"Sacramento Valley Water Quality Coalition , Irrigated Lands Regulatory Program , SVC, Order R5-2014-0030, Dec 1st 2018, WY18, Q3","http://www.ceden.org/","CEDEN","PNSSNS Subwatershed Group",2594213
"662234","31",42,"Placer","bifenthrin",0,0.005,0.00176,"2010-10-24",38.80383,-121.32147,"31_42","Pleasant Grove Creek NE of Woodcreek Oaks Blvd. DPR siteID: PGC001","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",426573
"662614","31",40,"Placer","bifenthrin",0.0651,0.005,0.00176,"2010-10-24",38.80398,-121.32869,"31_40","TribuStrm at Dr.PaulJ.DugnPk on Diamd Wods Cir nr influx to PlsntGrvCrk (DPR site id: PGC015)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",429605
"662800","31",30,"Placer","bifenthrin",0.0112,0.001,0.00091,"2013-08-06",38.80273,-121.33853,"31_30","Single Storm Drain at Opal and Parkside Way-drains to Pleasant Grove Crk","Single whole water sample",463,"DPR Study 269. Further Characterization Of Sacramento, California Area Urban Neighborhoods. Addendum For Fiscal Year 2011-2012","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_add.pdf","DPR","California Department Of Pesticide Regulation",475446
"662811","31",41,"Placer","bifenthrin",0.0095,0.001,0.00091,"2013-04-30",38.80248,-121.3386,"31_41","Conflunc of two Storm Drain outlfows at Opal and Pksde Wy, left side of strm (DPR site id: PGC019)","Single whole water sample",463,"DPR Study 269. Further Characterization Of Sacramento, California Area Urban Neighborhoods. Addendum For Fiscal Year 2011-2012","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_add.pdf","DPR","California Department Of Pesticide Regulation",475059
"662815","31",26,"Placer","bifenthrin",0.0111,0.001,0.00091,"2018-02-26",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Single whole water sample",882,"DPR study 299: Monitoring in Urban Areas in Northern California, FY 2018-2019","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_ensminger_urban_study_fy2018-19.pdf","DPR","California Department Of Pesticide Regulation",2862794
"663108","31",27,"Placer","bifenthrin",0.0382,0.002,0.00091,"2011-06-27",38.79908,-121.34698,"31_27","Storm Drain at Crocker Ranch Road - drains to Pleasant Grove Crk (DPR Site ID:PGC030)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",429623
"663409","31",29,"Placer","bifenthrin",0.064,0.002,0.00176,"2011-02-16",38.80477,-121.32733,"31_29","Storm Drain at Dugan Park on Diamond Woods Crcl-drains to Pleasant Grove Crk (DPR Site ID:PGC010)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",426815
"663415","31",30,"Placer","bifenthrin",0.0472,0.002,0.00091,"2012-01-20",38.80273,-121.33853,"31_30","Single Storm Drain at Opal and Parkside Way-drains to Pleasant Grove Crk","Single whole water sample",463,"DPR Study 269. Further Characterization Of Sacramento, California Area Urban Neighborhoods. Addendum For Fiscal Year 2011-2012","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_add.pdf","DPR","California Department Of Pesticide Regulation",471755
"664271","31",40,"Placer","bifenthrin",0.032,0.002,0.00091,"2011-05-15",38.80398,-121.32869,"31_40","TribuStrm at Dr.PaulJ.DugnPk on Diamd Wods Cir nr influx to PlsntGrvCrk (DPR site id: PGC015)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",427987
"664360","31",29,"Placer","bifenthrin",0.0055,0.0020833,0.0017708,"2014-03-17",38.80477,-121.32733,"31_29","Storm Drain at Dugan Park on Diamond Woods Crcl-drains to Pleasant Grove Crk (DPR Site ID:PGC010)","Single whole water sample",463,"DPR Study 269. Further Characterization Of Sacramento, California Area Urban Neighborhoods. Addendum For Fiscal Year 2011-2012","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_add.pdf","DPR","California Department Of Pesticide Regulation",471989
"664449","31",29,"Placer","bifenthrin",0.0354,0.001,0.00091,"2012-06-19",38.80477,-121.32733,"31_29","Storm Drain at Dugan Park on Diamond Woods Crcl-drains to Pleasant Grove Crk (DPR Site ID:PGC010)","Single whole water sample",463,"DPR Study 269. Further Characterization Of Sacramento, California Area Urban Neighborhoods. Addendum For Fiscal Year 2011-2012","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_add.pdf","DPR","California Department Of Pesticide Regulation",475322
"664666","31",41,"Placer","bifenthrin",0.0067,0.001,0.00091,"2013-06-04",38.80248,-121.3386,"31_41","Conflunc of two Storm Drain outlfows at Opal and Pksde Wy, left side of strm (DPR site id: PGC019)","Single whole water sample",463,"DPR Study 269. Further Characterization Of Sacramento, California Area Urban Neighborhoods. Addendum For Fiscal Year 2011-2012","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_add.pdf","DPR","California Department Of Pesticide Regulation",475133
"664817","31",30,"Placer","bifenthrin",0.0121,0.001,0.00091,"2012-06-19",38.80273,-121.33853,"31_30","Single Storm Drain at Opal and Parkside Way-drains to Pleasant Grove Crk","Single whole water sample",463,"DPR Study 269. Further Characterization Of Sacramento, California Area Urban Neighborhoods. Addendum For Fiscal Year 2011-2012","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_add.pdf","DPR","California Department Of Pesticide Regulation",475342
"665091","31",40,"Placer","bifenthrin",0.0711,0.002,0.00176,"2011-02-16",38.80398,-121.32869,"31_40","TribuStrm at Dr.PaulJ.DugnPk on Diamd Wods Cir nr influx to PlsntGrvCrk (DPR site id: PGC015)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",427019
"665198","31",35,"Placer","bifenthrin",0.0026,0.002,0.00091,"2011-05-15",38.79696,-121.35133,"31_35","South Branch of Pleasant Grove Creek at Veteran's Memorial Park (DPR site id: PGC050)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",428471
"665596","31",30,"Placer","bifenthrin",0.0291,0.001,0.00091,"2013-11-19",38.80273,-121.33853,"31_30","Single Storm Drain at Opal and Parkside Way-drains to Pleasant Grove Crk","Single whole water sample",463,"DPR Study 269. Further Characterization Of Sacramento, California Area Urban Neighborhoods. Addendum For Fiscal Year 2011-2012","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_add.pdf","DPR","California Department Of Pesticide Regulation",476073
"665612","31",27,"Placer","bifenthrin",0.11,0.002,0.00176,"2011-02-16",38.79908,-121.34698,"31_27","Storm Drain at Crocker Ranch Road - drains to Pleasant Grove Crk (DPR Site ID:PGC030)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",427277
"666999","31",34,"Placer","bifenthrin",0.0732,0.002,0.00176,"2011-02-16",38.80143,-121.33952,"31_34","Tributary stream nr. ParksideWay & BridgesideCt.  influx to Pleasant Grv crk(DPR site id: PGC025)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",427073
"667007","31",42,"Placer","bifenthrin",0,0.002,0.00091,"2011-06-27",38.80383,-121.32147,"31_42","Pleasant Grove Creek NE of Woodcreek Oaks Blvd. DPR siteID: PGC001","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",429419
"667236","31",26,"Placer","bifenthrin",0,0.005,0.00176,"2010-07-19",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",429380
"667335","31",41,"Placer","bifenthrin",0.124,0.002,0.00176,"2011-02-16",38.80248,-121.3386,"31_41","Conflunc of two Storm Drain outlfows at Opal and Pksde Wy, left side of strm (DPR site id: PGC019)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",427046
"667407","31",42,"Placer","bifenthrin",0,0.002,0.00176,"2011-02-16",38.80383,-121.32147,"31_42","Pleasant Grove Creek NE of Woodcreek Oaks Blvd. DPR siteID: PGC001","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",426788
"667570","31",28,"Placer","bifenthrin",0.0146,0.005,0.00176,"2010-07-19",38.80232,-121.33855,"31_28","Confl. of 2 Storm Drain outlfows-Opal/ Parkside Way, drains to Pleasant Grove Crk (DPR Site ID:PGC020)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",429121
"667697","31",35,"Placer","bifenthrin",0.0251,0.002,0.00176,"2011-02-16",38.79696,-121.35133,"31_35","South Branch of Pleasant Grove Creek at Veteran's Memorial Park (DPR site id: PGC050)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",427536
"667813","31",34,"Placer","bifenthrin",0.0427,0.005,0.00176,"2010-10-24",38.80143,-121.33952,"31_34","Tributary stream nr. ParksideWay & BridgesideCt.  influx to Pleasant Grv crk(DPR site id: PGC025)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",430041
"668047","31",29,"Placer","bifenthrin",0.0648,0.002,0.00091,"2011-05-15",38.80477,-121.32733,"31_29","Storm Drain at Dugan Park on Diamond Woods Crcl-drains to Pleasant Grove Crk (DPR Site ID:PGC010)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",427784
"670745","31",34,"Placer","bifenthrin",0.0053,0.005,0.00176,"2010-07-19",38.80143,-121.33952,"31_34","Tributary stream nr. ParksideWay & BridgesideCt.  influx to Pleasant Grv crk(DPR site id: PGC025)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",429326
"670811","31",41,"Placer","bifenthrin",0.0116,0.002,0.00091,"2011-06-27",38.80248,-121.3386,"31_41","Conflunc of two Storm Drain outlfows at Opal and Pksde Wy, left side of strm (DPR site id: PGC019)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",429188
"670822","31",42,"Placer","bifenthrin",0,0.002,0.00091,"2011-05-15",38.80383,-121.32147,"31_42","Pleasant Grove Creek NE of Woodcreek Oaks Blvd. DPR siteID: PGC001","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",427758
"670865","31",41,"Placer","bifenthrin",0.0225,0.002,0.00091,"2011-05-15",38.80248,-121.3386,"31_41","Conflunc of two Storm Drain outlfows at Opal and Pksde Wy, left side of strm (DPR site id: PGC019)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",428013
"670960","31",31,"Placer","bifenthrin",0.0273,0.001,0.00091,"2014-02-26",38.80261,-121.33881,"31_31","Dual Storm Drain at Opal and Parkside Way-drains to Pleasant Grove Crk (DPR site id: PGC022)","Single whole water sample",463,"DPR Study 269. Further Characterization Of Sacramento, California Area Urban Neighborhoods. Addendum For Fiscal Year 2011-2012","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_add.pdf","DPR","California Department Of Pesticide Regulation",471632
"671449","31",26,"Placer","bifenthrin",0.002,0.001,0.00091,"2018-06-11",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Single whole water sample",882,"DPR study 299: Monitoring in Urban Areas in Northern California, FY 2018-2019","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_ensminger_urban_study_fy2018-19.pdf","DPR","California Department Of Pesticide Regulation",2862143
"673074","31",27,"Placer","bifenthrin",0.0333,0.005,0.00176,"2009-10-13",38.79908,-121.34698,"31_27","Storm Drain at Crocker Ranch Road - drains to Pleasant Grove Crk (DPR Site ID:PGC030)","Single whole water sample",260,"DPR study 264 Urban pesticide monitoring in northern California Oct 2009 - May 2010","http://cdpr.ca.gov/docs/emon/surfwtr/protocols/study264protocol.pdf","DPR","California Department Of Pesticide Regulation",427876
"673811","31",43,"Placer","bifenthrin",0,0.002,0.00091,"2011-06-27",38.79541,-121.34661,"31_43","South Branch Pleasant Grove Creek at Veterans Park. DPR siteID: SBP100","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",429855
"673812","31",40,"Placer","bifenthrin",0,0.005,0.00176,"2010-07-19",38.80398,-121.32869,"31_40","TribuStrm at Dr.PaulJ.DugnPk on Diamd Wods Cir nr influx to PlsntGrvCrk (DPR site id: PGC015)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",428890
"673856","31",29,"Placer","bifenthrin",0.0197,0.002,0.00091,"2011-06-27",38.80477,-121.32733,"31_29","Storm Drain at Dugan Park on Diamond Woods Crcl-drains to Pleasant Grove Crk (DPR Site ID:PGC010)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",428726
"673867","31",29,"Placer","bifenthrin",0.0343,0.005,0.00176,"2010-07-19",38.80477,-121.32733,"31_29","Storm Drain at Dugan Park on Diamond Woods Crcl-drains to Pleasant Grove Crk (DPR Site ID:PGC010)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",428863
"673905","31",37,"Placer","bifenthrin",0,0.002,0.00091,"2011-06-27",38.78585,-121.36418,"31_37","Kaseberg Creek at Corin Dr and Fairhall Ct(DPR site id: KBC090)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",429882
"674237","31",38,"Placer","bifenthrin",0.0368,0.002,0.00176,"2011-02-16",38.79151,-121.36338,"31_38","Kaseberg Creek Receiving Water at Blue Oaks Blvd(DPR site id: KBC100)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",427740
"675945","31",29,"Placer","bifenthrin",0.0541,0.002,0.00091,"2011-10-05",38.80477,-121.32733,"31_29","Storm Drain at Dugan Park on Diamond Woods Crcl-drains to Pleasant Grove Crk (DPR Site ID:PGC010)","Single whole water sample",463,"DPR Study 269. Further Characterization Of Sacramento, California Area Urban Neighborhoods. Addendum For Fiscal Year 2011-2012","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_add.pdf","DPR","California Department Of Pesticide Regulation",482723
"676305","31",30,"Placer","bifenthrin",0.0151,0.001,0.00091,"2018-02-26",38.80273,-121.33853,"31_30","Single Storm Drain at Opal and Parkside Way-drains to Pleasant Grove Crk","Single whole water sample",882,"DPR study 299: Monitoring in Urban Areas in Northern California, FY 2018-2019","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_ensminger_urban_study_fy2018-19.pdf","DPR","California Department Of Pesticide Regulation",2862842
"676745","31",40,"Placer","bifenthrin",0.0358,0.002,0.00091,"2011-06-27",38.80398,-121.32869,"31_40","TribuStrm at Dr.PaulJ.DugnPk on Diamd Wods Cir nr influx to PlsntGrvCrk (DPR site id: PGC015)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",429161
"676766","31",27,"Placer","bifenthrin",0.0135,0.005,0.00176,"2010-07-19",38.79908,-121.34698,"31_27","Storm Drain at Crocker Ranch Road - drains to Pleasant Grove Crk (DPR Site ID:PGC030)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",429353
"677406","31",26,"Placer","bifenthrin",0.0799,0.002,0.00176,"2011-02-16",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",427509
